Reason,Category,Tight Cat
Conserve SC,Pesticides,Not Tested
Invalid Testing; Contaminated with Aspergillus or Mold,"Multiple: invalid testing, aspergillus, mold",Prohibited Additives / Product
Eagle 20,Pesticides,Pesticides
"Foreign matter, like insects, in product",Contaminants,Multiple
THC content above legal limit,Over THC Threshhold,Pesticides
pesticide Spinosyn,Pesticides,Contaminants
pyrethrins,Pesticides,Over THC Threshhold
"Unspecified Pesticides, Product not from Approved Producer","Multiple: Unspecified Pesticides, Product not from Approved Producer",Pesticides
"Not appropriately tested, Pesticides","Multiple: not appropriately tested, pesticdes",Pesticides
Does not include universal symbol,Labeling Issue,Multiple
"Multiple: Attractive to Children, Inaccurate Ingredient Label","Multiple: Attractive to Children, Inaccurate Ingredient Label",Multiple
Not Childproof Packaging,Packaging,Labeling Issue
Mold and Spoilage,Multiple: Spoilage and Mold,Multiple
spiromesifen and permethrin,Pesticides,Packaging
"Cadmium, Arsenic",Heavy Metals,Heavy Metals
Improper Testing Methods,Invalid Testing,Pesticides
Failed Pesticide Testing,Pesticides,Heavy Metals
failed harvest batch testing for microbials,Microbial,Invalid Testing
QA Recall by Vendor,QA Recall by Vendor,Pesticides
"Aspergillus, Cadmium, Mercury","Aspergillus, Heavy Metal",Microbial
Withdraw of products not safe for inhalation,Prohibited Additives / Product,QA Recall by Vendor
pesticides above action level,Pesticides,"Aspergillus, Heavy Metal"
O-phenylphenol ,Pesticides,Prohibited Additives / Product
High Level of concern for pesticides/residual solvents. ,Multiple: Pesticides / Solvents,Pesticides
Dichlenobil,Pesticides,Pesticides
"Diphenylamine (DPA),O-phenylphenol (OPP),",Pesticides,Multiple
Above pesticide action levels.,Pesticides,Pesticides
"Aspergillus, Lead",Aspergillus,Multiple
"Aspergillus, Lead",Lead,Multiple
Spinosad,Pesticides,Pesticides
